,id,preprocessed
0,0,"['horse', 'ass', 'mule', 'hinny', 'animal']"
1,1,"['horse', 'animal']"
2,2,"['horse', 'animal']"
3,4,"['horse', 'ass', 'mule', 'hinny', 'animal']"
4,5,"['animal', 'animal']"
5,6,"['cattle', 'animal']"
6,7,"['cattle', 'animal']"
7,8,['animal']
8,9,['animal']
9,10,"['animal', 'animal']"
10,11,['animal']
11,12,"['animal', 'kg']"
12,13,"['animal', 'kg']"
13,16,"['poultry', 'fowl', 'g']"
14,17,"['poultry', 'turkey']"
15,18,"['poultry', 'duck', 'g']"
16,19,"['poultry', 'g']"
17,20,"['poultry', 'guinea', 'fowl', 'g']"
18,21,"['poultry', 'g', 'duck', 'turkey', 'guinea', 'fowl']"
19,22,"['poultry', 'fowl', 'g']"
20,23,"['poultry', 'g', 'g', 'fowl', 'specie']"
21,24,"['poultry', 'g', 'fowl', 'specie']"
22,25,"['poultry', 'duck', 'turkey', 'guinea', 'fowl', 'g']"
23,26,"['mammal', 'camel', 'camelid']"
24,27,"['mammal', 'rabbit', 'hare']"
25,28,"['mammal', 'primate', 'whale', 'dolphin', 'porpoise', 'order', 'manatee', 'dugong', 'order']"
26,29,"['bird', 'ostrich', 'emus', 'novaehollandiae']"
27,30,"['animal', 'bird', 'bird', 'prey', 'psittaciforme']"
28,31,"['insect', 'bee']"
29,32,"['insect', 'bee']"
30,33,"['animal', 'chapter', 'mammal', 'reptile', 'bird']"
31,34,"['meat', 'animal', 'carcass', 'carcass']"
32,35,"['meat', 'animal', 'bone', 'carcass', 'carcass']"
33,36,"['meat', 'animal', 'boneless', 'cut']"
34,37,"['meat', 'animal', 'carcass', 'carcass']"
35,38,"['meat', 'animal', 'bone', 'carcass', 'carcass']"
36,39,"['meat', 'animal', 'boneless', 'cut']"
37,40,"['meat', 'swine', 'carcass', 'carcass']"
38,41,"['meat', 'shoulder', 'cut', 'bone']"
39,42,"['meat', 'swine', 'item']"
40,43,"['meat', 'swine', 'carcass', 'carcass']"
41,44,"['meat', 'shoulder', 'cut', 'bone']"
42,45,"['meat', 'swine', 'item']"
43,46,"['meat', 'sheep', 'lamb', 'carcass', 'carcass']"
44,47,"['meat', 'sheep', 'carcass', 'carcass', 'carcass', 'carcass', 'lamb']"
45,48,"['meat', 'sheep', 'lamb', 'bone', 'carcass', 'carcass']"
46,49,"['meat', 'sheep', 'lamb', 'boneless', 'cut']"
47,50,"['meat', 'sheep', 'lamb', 'carcass', 'carcass']"
48,51,"['meat', 'sheep', 'carcass', 'carcass', 'carcass', 'carcass', 'lamb']"
49,52,"['meat', 'sheep', 'lamb', 'bone', 'carcass', 'carcass']"
50,53,"['meat', 'sheep', 'lamb', 'boneless', 'cut']"
51,55,"['meat', 'horse', 'ass', 'mule', 'hinny']"
52,56,['animal']
53,57,"['animal', 'tongue']"
54,58,"['animal', 'liver', 'frozen']"
55,59,"['animal', 'tongue', 'liver']"
56,60,['swine']
57,61,"['liver', 'frozen']"
58,62,"['swine', 'liver']"
59,63,"['sheep', 'goat', 'horse', 'ass', 'mule', 'hinny']"
60,64,"['sheep', 'goat', 'horse', 'ass', 'mule', 'hinny']"
61,65,"['meat', 'offal', 'poultry', 'fowl', 'piece']"
62,66,"['meat', 'offal', 'poultry', 'fowl', 'piece']"
63,67,"['meat', 'offal', 'poultry', 'fowl', 'cut', 'offal']"
64,68,"['meat', 'offal', 'poultry', 'fowl', 'cut', 'offal']"
65,69,"['meat', 'offal', 'turkey', 'piece']"
66,70,"['meat', 'offal', 'poultry', 'turkey', 'piece']"
67,71,"['meat', 'offal', 'poultry', 'turkey', 'cut', 'offal']"
68,72,"['meat', 'offal', 'poultry', 'turkey', 'cut', 'offal']"
